pitch,roll,y,z,spot
1.203680,-0.483810,-7.916814,5.999462,2
1.203200,-0.482370,-2.455021,2.714589,3
1.202580,-0.480880,-2.455021,2.714589,3
1.201960,-0.479280,-2.455021,2.714589,3
1.201580,-0.477940,-2.455021,2.714589,3
1.201300,-0.477050,-2.455021,2.714589,3
1.201130,-0.475820,-2.455021,2.714589,3
1.201050,-0.473910,-2.455021,2.714589,3
1.201160,-0.471480,-2.455021,2.714589,3
1.201220,-0.468670,-1.306376,2.204410,3
1.201060,-0.464060,-1.306376,2.204410,3
1.200930,-0.459340,-1.306376,2.204410,3
1.201070,-0.455420,-1.306376,2.204410,3
1.201210,-0.451440,-1.306376,2.204410,3
1.200790,-0.446420,-1.306376,2.204410,3
1.200020,-0.440350,-1.306376,2.204410,3
1.199080,-0.434690,-1.306376,2.204410,3
1.198050,-0.429870,-1.306376,2.204410,3
1.197100,-0.425690,0.570009,3.244752,3
1.196370,-0.423290,0.570009,3.244752,3
1.196080,-0.422810,0.570009,3.244752,3
1.195880,-0.424700,0.570009,3.244752,3
1.195890,-0.428150,0.570009,3.244752,3
1.196250,-0.431740,0.570009,3.244752,3
1.196640,-0.434790,0.570009,3.244752,3
1.197080,-0.438620,0.570009,3.244752,3
1.197820,-0.442600,0.741363,0.138554,3
1.198900,-0.445940,0.741363,0.138554,3
1.200030,-0.447780,0.741363,0.138554,3
1.201170,-0.449490,0.741363,0.138554,3
1.202030,-0.450530,0.741363,0.138554,3
1.202580,-0.450660,0.741363,0.138554,3
1.201920,-0.449020,0.741363,0.138554,3
1.200250,-0.446100,0.741363,0.138554,3
1.197800,-0.441420,0.741363,0.138554,3
1.193920,-0.430560,-1.535998,1.288451,3
1.189960,-0.416970,-1.535998,1.288451,3
1.186920,-0.404110,-1.535998,1.288451,3
1.185370,-0.397570,-1.535998,1.288451,3
1.185470,-0.399810,-1.535998,1.288451,3
1.188380,-0.411300,-1.535998,1.288451,3
1.195030,-0.430610,-1.535998,1.288451,3
1.204760,-0.455550,-1.535998,1.288451,3
1.215710,-0.482820,-1.535998,1.288451,3
1.225270,-0.506340,-1.535998,1.288451,3
1.233540,-0.526960,-1.535998,1.288451,3
1.239270,-0.540070,-1.535998,1.288451,3
1.242750,-0.543660,-1.535998,1.288451,3
1.244900,-0.541020,-1.535998,1.288451,3
1.246710,-0.536900,-1.535998,1.288451,3
1.248300,-0.532480,-1.535998,1.288451,3
1.249210,-0.526870,-1.535998,1.288451,3
1.249010,-0.519680,-1.535998,1.288451,3
1.247910,-0.512420,0.042777,4.583334,3
1.246460,-0.506340,0.042777,4.583334,3
1.245370,-0.501130,0.042777,4.583334,3
1.245100,-0.496760,0.042777,4.583334,3
1.245610,-0.494400,0.042777,4.583334,3
1.246370,-0.492050,0.042777,4.583334,3
1.247170,-0.489470,0.042777,4.583334,3
1.247380,-0.486350,0.042777,4.583334,3
1.247350,-0.483580,0.042777,4.583334,3
1.247010,-0.481190,-2.395760,3.611810,3
1.246220,-0.479530,-2.395760,3.611810,3
1.245230,-0.478080,-2.395760,3.611810,3
1.244200,-0.476330,-2.395760,3.611810,3
1.243220,-0.473240,-2.395760,3.611810,3
1.242390,-0.469740,-3.317486,3.204639,3
1.241730,-0.465910,-3.317486,3.204639,3
1.241440,-0.462740,-3.317486,3.204639,3
1.241260,-0.459970,-3.317486,3.204639,3
1.241290,-0.457520,-3.317486,3.204639,3
1.241480,-0.455050,-3.317486,3.204639,3
1.241550,-0.452120,-3.317486,3.204639,3
1.241580,-0.449470,-3.317486,3.204639,3
